Data,Cidade,Unidade Hospitalar,Total Leitos Adulto Clínico, Total Leitos Adulto Clínico Ocupados,Total Leitos Adulto Clínico Livre,Total Leitos Adulto UTI,Total Leitos Adulto UTI Ocupados,Total Leitos Adulto UTI Livre,Total Leitos Pediatrico Clinico,Total Leitos Pediatrico Clinico Ocupados,Total Leitos Pediatrico Clinico Livre,Total Leitos Pediatrico UTI,Total Leitos Pediatrico UTI Ocupados,Total Leitos Pediatrico UTI Livre
12/05/2020 10:55:41,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,81,81,0,3,1,2,0,0,0,2,0,2,
12/05/2020 11:19:50,Porto Velho,Samar,35,20,15,15,6,0,0,0,0,0,0,0,
12/05/2020 11:49:04,Porto Velho,Hospital Santa Marcelina,20,14,6,0,0,0,0,0,0,0,0,0,
12/05/2020 12:07:36,Buritis,Hospital Regional de Buritis - HRB,5,3,2,0,0,0,0,0,0,0,0,0,
12/05/2020 12:13:26,Porto Velho,Cemetron,67,55,12,17,12,0,0,0,0,0,0,0,
13/05/2020 07:28:08,Porto Velho,Hospital Santa Marcelina,20,14,6,0,0,0,0,0,0,0,0,0,
13/05/2020 08:43:56,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
13/05/2020 09:20:26,Porto Velho,Hospital - João Paulo II,2,2,0,0,0,0,0,0,0,0,0,0,
13/05/2020 09:34:53,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,5,18,1,17,7,2,5,
13/05/2020 10:01:16,Porto Velho,Hospital Regional de Extrema - HRE,4,1,3,0,0,0,0,0,0,0,0,0,
13/05/2020 10:48:15,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,51,51,0,3,0,2,0,0,0,2,0,2,
13/05/2020 10:50:55,Cacoal,Hospital Regional de Cacoal - HRC,7,3,4,16,1,1,8,0,8,1,0,1,
13/05/2020 10:54:58,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,0,0,0,0,0,0,0,0,
13/05/2020 10:56:46,Buritis,Hospital Regional de Buritis - HRB,5,4,1,0,0,0,0,0,0,0,0,0,
13/05/2020 11:46:00,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,34,25,0,0,0,0,0,0,0,
13/05/2020 12:10:02,Porto Velho,Samar,35,23,12,15,8,0,0,0,0,0,0,0,
13/05/2020 12:38:42,Porto Velho,Cemetron,60,51,9,17,12,0,0,0,0,0,0,0,
14/05/2020 08:17:13,Porto Velho,Hospital Santa Marcelina,20,13,7,0,0,0,0,0,0,0,0,0,
14/05/2020 08:17:28,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
14/05/2020 08:32:58,Porto Velho,Hospital - João Paulo II,1,1,0,0,0,0,0,0,0,0,0,0,
14/05/2020 08:57:36,Cacoal,Hospital Regional de Cacoal - HRC,7,4,3,16,1,1,8,0,8,1,0,1,
14/05/2020 09:02:16,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,34,20,0,0,0,0,0,0,0,
14/05/2020 09:13:27,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
14/05/2020 09:26:15,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,1,17,7,1,6,
14/05/2020 10:22:58,Buritis,Hospital Regional de Buritis - HRB,5,2,3,0,0,0,0,0,0,0,0,0,
14/05/2020 10:53:24,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,31,31,0,3,0,2,0,0,0,2,0,2,
14/05/2020 11:24:42,Porto Velho,Samar,35,30,5,15,10,0,0,0,0,0,0,0,
14/05/2020 11:28:08,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,0,0,0,0,0,0,0,0,
14/05/2020 11:37:24,Porto Velho,Cemetron,60,29,31,17,17,0,0,0,0,0,0,0,
15/05/2020 08:29:19,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,0,0,0,0,0,0,0,0,0,0,0,0,
15/05/2020 08:32:36,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,1,17,7,1,6,
15/05/2020 08:35:28,Porto Velho,Hospital Santa Marcelina,20,11,9,0,0,0,0,0,0,0,0,0,
15/05/2020 08:50:12,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
15/05/2020 09:23:12,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
15/05/2020 10:31:40,Cacoal,Hospital Regional de Cacoal - HRC,7,3,3,16,1,1,8,0,8,1,0,1,
15/05/2020 10:38:00,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,0,0,0,0,0,0,0,0,
15/05/2020 10:55:12,Porto Velho,Samar,35,28,7,15,13,0,0,0,0,0,0,0,
15/05/2020 11:00:30,Buritis,Hospital Regional de Buritis - HRB,5,2,3,0,0,0,0,0,0,0,0,0,
15/05/2020 11:02:51,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,34,27,0,0,0,0,0,0,0,
15/05/2020 11:14:01,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,38,38,0,3,0,2,0,0,0,2,0,2,
15/05/2020 12:27:21,Porto Velho,Cemetron,60,49,11,17,17,0,0,0,0,0,0,0,
16/05/2020 08:32:54,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,1,17,7,1,6,
16/05/2020 08:38:40,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,34,25,0,0,0,0,0,0,0,
16/05/2020 08:56:32,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
16/05/2020 09:03:44,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,1,1,0,0,0,0,0,0,0,0,0,0,
16/05/2020 09:36:38,Buritis,Hospital Regional de Buritis - HRB,5,1,4,0,0,0,0,0,0,0,0,0,
16/05/2020 09:57:07,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
16/05/2020 10:03:24,Cacoal,Hospital Regional de Cacoal - HRC,7,3,4,16,1,1,8,0,8,1,0,1,
16/05/2020 10:14:07,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,0,0,0,0,0,0,0,0,
16/05/2020 10:44:56,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,74,74,0,3,0,2,0,0,0,2,0,2,
16/05/2020 10:46:29,Porto Velho,Cemetron,60,46,14,17,17,0,0,0,0,0,0,0,
16/05/2020 11:05:58,Porto Velho,Hospital Santa Marcelina,20,10,10,0,0,0,0,0,0,0,0,0,
16/05/2020 11:20:59,Porto Velho,Samar,35,30,5,15,13,0,0,0,0,0,0,0,
17/05/2020 07:59:31,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
17/05/2020 08:19:29,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,1,17,7,1,6,
17/05/2020 08:27:27,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,34,25,0,0,0,0,0,0,0,
17/05/2020 09:12:48,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,1,1,0,0,0,0,0,0,0,0,0,0,
17/05/2020 09:14:40,Cacoal,Hospital Regional de Cacoal - HRC,7,2,5,16,1,1,8,0,8,1,0,1,
17/05/2020 09:22:17,Porto Velho,Hospital Regional de Extrema - HRE,4,1,3,0,0,0,0,0,0,0,0,0,
17/05/2020 09:29:06,Porto Velho,Cemetron,60,48,12,17,16,0,0,0,0,0,0,0,
17/05/2020 09:41:13,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,78,78,0,3,2,2,0,0,0,2,0,2,
17/05/2020 10:20:48,Porto Velho,Hospital Santa Marcelina,20,10,10,0,0,0,0,0,0,0,0,0,
17/05/2020 10:26:14,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,0,0,0,0,0,0,0,0,
17/05/2020 10:47:07,Porto Velho,Samar,35,30,5,15,14,0,0,0,0,0,0,0,
17/05/2020 11:02:02,Buritis,Hospital Regional de Buritis - HRB,5,1,4,0,0,0,0,0,0,0,0,0,
18/05/2020 08:29:20,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,1,17,7,1,6,
18/05/2020 08:29:21,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,1,1,0,0,0,0,0,0,0,0,0,0,
18/05/2020 09:24:16,Porto Velho,Samar,35,28,7,15,12,0,0,0,0,0,0,0,
18/05/2020 09:50:03,Cacoal,Hospital Regional de Cacoal - HRC,7,1,6,16,2,1,8,0,8,1,0,1,
18/05/2020 09:50:26,Porto Velho,Hospital Regional de Extrema - HRE,4,1,3,0,0,0,0,0,0,0,0,0,
18/05/2020 09:56:54,Porto Velho,Cemetron,60,47,13,17,17,0,0,0,0,0,0,0,
18/05/2020 10:12:29,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,1,8,1,0,0,0,0,0,0,0,0,
18/05/2020 10:18:01,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,65,65,0,3,3,2,0,0,0,2,0,2,
18/05/2020 10:19:00,Porto Velho,Hospital Santa Marcelina,20,15,5,0,0,0,0,0,0,0,0,0,
18/05/2020 10:30:17,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,34,25,0,0,0,0,0,0,0,
18/05/2020 10:44:30,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,1,0,0,0,0,0,0,0,
18/05/2020 11:27:29,Buritis,Hospital Regional de Buritis - HRB,5,3,2,0,0,0,0,0,0,0,0,0,
19/05/2020 08:20:30,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,3,3,0,0,0,0,0,0,0,0,0,0,
19/05/2020 08:45:40,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
19/05/2020 08:50:11,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,0,18,7,1,6,
19/05/2020 09:10:05,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,1,8,1,0,0,0,0,0,0,0,0,
19/05/2020 09:43:51,Porto Velho,Hospital Santa Marcelina,20,17,3,0,0,0,0,0,0,0,0,0,
19/05/2020 09:47:54,Cacoal,Hospital Regional de Cacoal - HRC,7,1,6,16,2,1,8,0,8,1,0,1,
19/05/2020 09:57:42,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,66,66,0,3,2,2,0,0,0,2,0,2,
19/05/2020 10:27:41,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,1,0,0,0,0,0,0,0,
19/05/2020 10:41:38,Porto Velho,Samar,35,23,12,15,15,0,0,0,0,0,0,0,
19/05/2020 10:49:33,Porto Velho,Cemetron,60,56,4,17,17,0,0,0,0,0,0,0,
19/05/2020 11:01:10,Buritis,Hospital Regional de Buritis - HRB,5,2,3,0,0,0,0,0,0,0,0,0,
19/05/2020 11:03:23,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,34,23,0,0,0,0,0,0,0,
20/05/2020 07:36:17,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,34,23,0,0,0,0,0,0,0,
20/05/2020 08:32:47,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,0,0,0,0,0,0,0,0,0,0,0,0,
20/05/2020 08:43:52,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,0,18,7,1,6,
20/05/2020 08:57:14,Porto Velho,Hospital Regional de Extrema - HRE,4,1,3,0,0,0,0,0,0,0,0,0,
20/05/2020 10:07:55,Porto Velho,Samar,50,22,28,15,13,0,0,0,0,0,0,0,
20/05/2020 10:13:44,Porto Velho,Hospital Santa Marcelina,20,18,2,0,0,0,0,0,0,0,0,0,
20/05/2020 10:24:52,Cacoal,Hospital Regional de Cacoal - HRC,7,2,5,16,4,1,8,1,7,1,0,1,
20/05/2020 10:40:40,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,73,73,0,3,2,2,0,0,0,2,0,2,
20/05/2020 11:00:50,Buritis,Hospital Regional de Buritis - HRB,5,4,1,0,0,0,0,0,0,0,0,0,
20/05/2020 11:08:49,Porto Velho,Cemetron,60,55,5,17,17,0,0,0,0,0,0,0,
20/05/2020 11:13:30,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,1,8,1,0,0,0,0,0,0,0,0,
20/05/2020 11:30:47,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,2,0,0,0,0,0,0,0,
21/05/2020 07:58:55,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,34,32,0,0,0,0,0,0,0,
21/05/2020 08:07:33,Cacoal,Hospital Regional de Cacoal - HRC,7,3,4,16,3,1,8,1,7,1,0,1,
21/05/2020 08:39:42,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,0,18,7,1,6,
21/05/2020 08:49:44,Buritis,Hospital Regional de Buritis - HRB,5,5,0,0,0,0,0,0,0,0,0,0,
21/05/2020 09:19:25,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
21/05/2020 09:23:50,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,0,0,0,0,0,0,0,0,0,0,0,0,
21/05/2020 10:00:14,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,2,0,0,0,0,0,0,0,
21/05/2020 10:12:03,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
21/05/2020 10:55:06,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,74,74,0,3,2,2,0,0,0,2,0,2,
21/05/2020 11:10:13,Porto Velho,Samar,35,24,11,15,9,0,0,0,0,0,0,0,
21/05/2020 11:15:59,Porto Velho,Cemetron,60,51,9,17,12,0,0,0,0,0,0,0,
21/05/2020 11:23:17,Porto Velho,Hospital Santa Marcelina,20,18,2,0,0,0,0,0,0,0,0,0,
22/05/2020 08:11:02,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,4,4,0,0,0,0,0,0,0,0,0,0,
22/05/2020 08:41:14,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,35,33,0,0,0,0,0,0,0,
22/05/2020 09:54:06,Porto Velho,Cemetron,60,47,13,17,12,0,0,0,0,0,0,0,
22/05/2020 10:04:05,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,0,18,7,1,6,
22/05/2020 10:16:09,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,0,0,0,0,0,0,0,0,
22/05/2020 10:18:37,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
22/05/2020 10:23:54,Porto Velho,Samar,35,27,8,15,7,0,0,0,0,0,0,0,
22/05/2020 10:38:00,Cacoal,Hospital Regional de Cacoal - HRC,7,4,3,16,3,0,8,0,8,1,1,0,
22/05/2020 10:45:42,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
22/05/2020 10:50:08,Buritis,Hospital Regional de Buritis - HRB,5,3,2,0,0,0,0,0,0,0,0,0,
22/05/2020 10:54:19,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,90,87,0,3,3,1,0,0,0,2,1,1,
22/05/2020 11:01:36,Porto Velho,Hospital Santa Marcelina,20,19,1,0,0,0,0,0,0,0,0,0,
23/05/2020 08:12:48,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
23/05/2020 08:39:19,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,4,4,0,0,0,0,0,0,0,0,0,0,
23/05/2020 08:48:58,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,0,18,7,1,6,
23/05/2020 08:58:43,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,35,31,0,0,0,0,0,0,0,
23/05/2020 09:47:50,Porto Velho,Hospital Santa Marcelina,20,18,2,0,0,0,0,0,0,0,0,0,
23/05/2020 09:49:17,Porto Velho,Cemetron,60,50,10,17,14,0,0,0,0,0,0,0,
23/05/2020 09:56:30,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
23/05/2020 10:07:21,Cacoal,Hospital Regional de Cacoal - HRC,7,6,1,16,3,1,8,0,8,1,1,1,
23/05/2020 10:16:56,Porto Velho,Samar,42,29,13,15,11,0,0,0,0,0,0,0,
23/05/2020 10:25:56,Buritis,Hospital Regional de Buritis - HRB,5,4,1,0,0,0,0,0,0,0,0,0,
23/05/2020 10:28:09,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,0,0,0,0,0,0,0,0,
23/05/2020 10:55:38,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,86,86,0,6,6,1,0,0,0,2,1,1,
24/05/2020 07:48:56,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,0,18,7,1,6,
24/05/2020 08:59:38,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
24/05/2020 09:23:21,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,9,9,0,0,0,0,0,0,0,0,0,0,
24/05/2020 09:32:47,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,35,25,0,0,0,0,0,0,0,
24/05/2020 09:47:06,Porto Velho,Cemetron,60,57,3,17,17,0,0,0,0,0,0,0,
24/05/2020 09:55:22,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,0,0,0,0,0,0,0,0,
24/05/2020 10:10:55,Porto Velho,Samar,50,29,21,15,14,0,0,0,0,0,0,0,
24/05/2020 10:24:03,Buritis,Hospital Regional de Buritis - HRB,10,5,5,0,0,0,0,0,0,0,0,0,
24/05/2020 10:27:47,Cacoal,Hospital Regional de Cacoal - HRC,7,3,4,16,3,0,8,0,8,1,1,0,
24/05/2020 10:38:10,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,93,93,0,6,6,2,0,0,0,2,0,2,
24/05/2020 11:17:50,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
24/05/2020 11:31:01,Porto Velho,Hospital Santa Marcelina,20,18,2,0,0,0,0,0,0,0,0,0,
25/05/2020 08:21:09,Porto Velho,Hospital Santa Marcelina,20,19,1,0,0,0,0,0,0,0,0,0,
25/05/2020 08:37:31,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,10,10,0,0,0,0,0,0,0,0,0,0,
25/05/2020 08:45:42,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,2,16,7,1,6,
25/05/2020 10:12:59,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,0,0,0,0,0,0,0,0,
25/05/2020 10:26:26,Porto Velho,Samar,50,36,14,15,14,0,0,0,0,0,0,0,
25/05/2020 10:27:16,Porto Velho,Cemetron,60,44,16,17,16,0,0,0,0,0,0,0,
25/05/2020 10:31:01,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,35,25,0,0,0,0,0,0,0,
25/05/2020 10:40:53,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
25/05/2020 10:49:13,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,89,89,0,6,6,2,0,0,0,2,0,2,
25/05/2020 11:01:22,Cacoal,Hospital Regional de Cacoal - HRC,7,1,6,16,4,0,8,0,8,1,1,0,
25/05/2020 11:06:30,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
25/05/2020 11:27:47,Buritis,Hospital Regional de Buritis - HRB,10,5,5,0,0,0,0,0,0,0,0,0,
26/05/2020 08:30:02,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,9,9,0,0,0,0,0,0,0,0,0,0,
26/05/2020 08:50:10,Porto Velho,Cemetron,60,48,12,17,15,0,0,0,0,0,0,0,
26/05/2020 08:59:28,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,0,18,7,1,6,
26/05/2020 09:03:29,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
26/05/2020 09:08:16,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,35,25,0,0,0,0,0,0,0,
26/05/2020 10:26:32,Porto Velho,Hospital Santa Marcelina,30,15,15,0,0,0,0,0,0,0,0,0,
26/05/2020 10:34:14,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
26/05/2020 10:37:36,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,85,85,0,3,3,2,0,0,0,2,0,2,
26/05/2020 11:03:36,Buritis,Hospital Regional de Buritis - HRB,10,3,7,0,0,0,0,0,0,0,0,0,
26/05/2020 11:04:09,Cacoal,Hospital Regional de Cacoal - HRC,7,4,3,16,4,1,4,0,4,1,1,1,
26/05/2020 11:11:49,Porto Velho,Samar,50,38,12,15,11,0,0,0,0,0,0,0,
26/05/2020 11:58:28,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,0,0,0,0,0,0,0,0,
27/05/2020 07:56:47,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
27/05/2020 08:29:51,Porto Velho,Hospital Estadual e Pronto Socorro João Paulo II - HEPSJPII,11,11,0,0,0,0,0,0,0,0,0,0,
27/05/2020 08:36:01,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
27/05/2020 08:39:38,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,7,18,0,18,7,0,7,
27/05/2020 09:52:49,Porto Velho,Hospital Santa Marcelina,30,17,13,0,0,0,0,0,0,0,0,0,
27/05/2020 10:00:35,Porto Velho,Cemetron,60,49,11,17,16,0,0,0,0,0,0,0,
27/05/2020 10:48:27,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,35,27,0,0,0,0,0,0,0,
27/05/2020 10:53:57,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,79,79,0,3,2,2,0,0,0,2,2,2,
27/05/2020 11:10:31,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,2,0,2,2,0,0,0,0,0,0,0,0,
27/05/2020 11:16:35,Buritis,Hospital Regional de Buritis - HRB,8,2,6,0,0,0,0,0,0,0,0,0,
27/05/2020 11:39:25,Porto Velho,Samar,50,44,6,15,13,0,0,0,0,0,0,0,
